,firm,q,booktomarketratio,salesannualgrowth,operatingprofitgrowth,market_value
5702,GPI,2008q1,23.48,0.004404565985744124,1.0516015041000317,16191174.040000001
5703,GPI,2008q2,19.87,-0.05743905205380606,0.8912238441072841,14249929.46
5704,GPI,2008q3,21.73,-0.136838810453228,-0.27170223998793275,14993569.620000001
5705,GPI,2008q4,10.77,-0.2586890637617574,-3.389154418370647,6691971.81
5706,GPI,2009q1,13.97,-0.33321106675951084,0.4935378252627951,9378410.25
5707,GPI,2009q2,26.02,-0.2996371078538198,0.6353752748250197,18089806.54
5708,GPI,2009q3,26.85,-0.13058465495190286,-2.927619708535739,19209268.650000002
5709,GPI,2009q4,28.35,0.014713314839887692,-0.12167320538649136,20416422.6
5710,GPI,2010q1,31.86,0.16800661295114705,1.3804993016759777,23959389.06
5711,GPI,2010q2,23.53,0.2793710062186867,1.1436825396825396,17707972.1
5712,GPI,2010q3,29.88,0.17248152951868057,1.1023063977054544,23021793.0
5713,GPI,2010q4,41.76,0.24976704079220036,2.7837908496732027,32755207.68
5714,GPI,2011q1,42.8,0.18314104065556647,1.2397723680050585,34398188.8
5715,GPI,2011q2,41.18,0.03922146422757988,1.5110475767501248,33516649.08
5716,GPI,2011q3,35.55,0.0743175155891378,1.0768982646280885,28040560.2
5717,GPI,2011q4,51.8,0.13088279480744935,1.5581329827197596,41807780.0
5718,GPI,2012q1,56.17000000000001,0.18125497586748618,1.3764216861325036,44877864.050000004
5719,GPI,2012q2,45.61,0.28605123647945074,1.1589176479232874,38575752.14
5720,GPI,2012q3,60.23,0.2586512004350514,1.3389444677409692,50730765.32
5721,GPI,2012q4,61.99,0.19252255172273824,0.9217849034617162,53329005.160000004
5722,GPI,2013q1,60.07,0.1796593472273531,1.0864844835572025,57736700.99
5723,GPI,2013q2,64.33,0.231711138047479,1.2779292416941415,63718157.37
5724,GPI,2013q3,77.68,0.1839421989181269,1.0878111344757133,79462134.56
5725,GPI,2013q4,71.02,0.17562792779829572,1.3320836965998257,73518128.5
5726,GPI,2014q1,65.66,0.151250717984023,1.2045597940078099,69406559.6
5727,GPI,2014q2,84.31,0.07559729520236735,1.0506313413212274,81533671.7
5728,GPI,2014q3,72.71,0.12234316904023546,1.2387683196007733,71642980.75
5729,GPI,2014q4,89.62,0.11381834198145913,0.9229988873617383,87649256.2
5730,GPI,2015q1,86.33,0.07607316321245472,1.1428672546327099,82861864.91
5731,GPI,2015q2,90.83,0.0855386007059935,1.1572062712504723,91207035.33
5732,GPI,2015q3,85.15,0.06629523980676555,1.0695684894363469,82538279.2
5733,GPI,2015q4,75.7,0.05264480452472298,0.05220705548661585,69511676.4
5734,GPI,2016q1,58.68999999999999,0.07213790880998205,1.016226728270429,53571821.169999994
